duplicate_group_id,text_hash,original_text_snippet,group_type,source_dataset,source_split,source_row_id,anger,disgust,fear,joy,sadness,surprise,reason,resolution,approved_by,timestamp
68806a304a59,68806a304a59,"Yousuf Kazi পৃথিবীতে এখনও আপনার মত কিছু মানুষ আছে বলে,পৃথিবীটা এখনও এত সুন্দর।ধর",B,UBMEC,NONE,8385,0,0,0,1,0,0,conflicting_duplicate — same text with different label vectors in this group,DROP,User decision 2026-09-19,2026-09-19 12:37:46
68806a304a59,68806a304a59,"Yousuf Kazi পৃথিবীতে এখনও আপনার মত কিছু মানুষ আছে বলে,পৃথিবীটা এখনও এত সুন্দর।ধর",B,UBMEC,NONE,9239,0,0,1,0,0,0,conflicting_duplicate — same text with different label vectors in this group,DROP,User decision 2026-09-19,2026-09-19 12:37:46
005fcd560a8f,005fcd560a8f,অপরাধ কারী এবং অপরাধী কে প্রশ্রয় দানকারী দুজনেই সমান অপরাধী ? এদেকে কি বলে মোনা,B,UBMEC,NONE,8260,1,0,0,0,0,0,conflicting_duplicate — same text with different label vectors in this group,DROP,User decision 2026-09-19,2026-09-19 12:37:46
005fcd560a8f,005fcd560a8f,অপরাধ কারী এবং অপরাধী কে প্রশ্রয় দানকারী দুজনেই সমান অপরাধী ? এদেকে কি বলে মোনা,B,UBMEC,NONE,8299,0,0,0,0,1,0,conflicting_duplicate — same text with different label vectors in this group,DROP,User decision 2026-09-19,2026-09-19 12:37:46
005fcd560a8f,005fcd560a8f,অপরাধ কারী এবং অপরাধী কে প্রশ্রয় দানকারী দুজনেই সমান অপরাধী ? এদেকে কি বলে মোনা,B,UBMEC,NONE,8363,0,1,0,0,0,0,conflicting_duplicate — same text with different label vectors in this group,DROP,User decision 2026-09-19,2026-09-19 12:37:46
005fcd560a8f,005fcd560a8f,অপরাধ কারী এবং অপরাধী কে প্রশ্রয় দানকারী দুজনেই সমান অপরাধী ? এদেকে কি বলে মোনা,B,UBMEC,NONE,8563,0,0,0,0,1,0,conflicting_duplicate — same text with different label vectors in this group,DROP,User decision 2026-09-19,2026-09-19 12:37:46
005fcd560a8f,005fcd560a8f,অপরাধ কারী এবং অপরাধী কে প্রশ্রয় দানকারী দুজনেই সমান অপরাধী ? এদেকে কি বলে মোনা,B,UBMEC,NONE,8564,0,0,0,0,1,0,conflicting_duplicate — same text with different label vectors in this group,DROP,User decision 2026-09-19,2026-09-19 12:37:46
005fcd560a8f,005fcd560a8f,অপরাধ কারী এবং অপরাধী কে প্রশ্রয় দানকারী দুজনেই সমান অপরাধী ? এদেকে কি বলে মোনা,B,UBMEC,NONE,8565,0,0,0,0,1,0,conflicting_duplicate — same text with different label vectors in this group,DROP,User decision 2026-09-19,2026-09-19 12:37:46
005fcd560a8f,005fcd560a8f,অপরাধ কারী এবং অপরাধী কে প্রশ্রয় দানকারী দুজনেই সমান অপরাধী ? এদেকে কি বলে মোনা,B,UBMEC,NONE,8566,0,0,0,0,1,0,conflicting_duplicate — same text with different label vectors in this group,DROP,User decision 2026-09-19,2026-09-19 12:37:46
005fcd560a8f,005fcd560a8f,অপরাধ কারী এবং অপরাধী কে প্রশ্রয় দানকারী দুজনেই সমান অপরাধী ? এদেকে কি বলে মোনা,B,UBMEC,NONE,8567,0,0,0,0,1,0,conflicting_duplicate — same text with different label vectors in this group,DROP,User decision 2026-09-19,2026-09-19 12:37:46
005fcd560a8f,005fcd560a8f,অপরাধ কারী এবং অপরাধী কে প্রশ্রয় দানকারী দুজনেই সমান অপরাধী ? এদেকে কি বলে মোনা,B,UBMEC,NONE,8568,0,0,0,0,1,0,conflicting_duplicate — same text with different label vectors in this group,DROP,User decision 2026-09-19,2026-09-19 12:37:46
005fcd560a8f,005fcd560a8f,অপরাধ কারী এবং অপরাধী কে প্রশ্রয় দানকারী দুজনেই সমান অপরাধী ? এদেকে কি বলে মোনা,B,UBMEC,NONE,8569,0,0,0,0,1,0,conflicting_duplicate — same text with different label vectors in this group,DROP,User decision 2026-09-19,2026-09-19 12:37:46
005fcd560a8f,005fcd560a8f,অপরাধ কারী এবং অপরাধী কে প্রশ্রয় দানকারী দুজনেই সমান অপরাধী ? এদেকে কি বলে মোনা,B,UBMEC,NONE,8570,0,0,0,0,1,0,conflicting_duplicate — same text with different label vectors in this group,DROP,User decision 2026-09-19,2026-09-19 12:37:46
